from,to,conversion_factor
2007,1974,1.0407167690394892
2008,1974,1.0694505280081967
2009,1974,1.0232687670545302
2010,1974,1.0299212821626715
2011,1974,1.0449698305485993
2012,1974,1.0348341045519274
2013,1974,1.027433551887506
2014,1974,1.0228164387639684
2015,1974,1.015080896769836
2016,1974,1.0156897575492994
2017,1974,1.0241149869140294
1962,1975,1.124720336828216
1963,1975,1.124720336828216
1964,1975,1.124720336828216
1965,1975,1.124720336828216
1966,1975,1.124720336828216
1967,1975,1.124720336828216
1968,1975,1.124720336828216
1969,1975,1.124720336828216
1970,1975,1.124720336828216
1971,1975,1.124720336828216
1972,1975,1.124720336828216
1973,1975,1.124720336828216
1974,1975,1.124720336828216
1975,1975,1
1976,1975,1.0969145386326704
1977,1975,1.1035383186462282
1978,1975,1.0862361818879926
1979,1975,1.101042240936484
1980,1975,1.1373631275845262
1981,1975,1.1284491271429455
1982,1975,1.1037922131698876
1983,1975,1.0937208721296852
1984,1975,1.0903986972855368
1985,1975,1.0867647174527224
1986,1975,1.0649634433157162
1987,1975,1.0697721238464266
1988,1975,1.099683825125001
1989,1975,1.146370358673259
1990,1975,1.2328597005478954
1991,1975,1.1103742379883184
1992,1975,1.1096042804578876
1993,1975,1.2079032999295152
1994,1975,1.2389418272963342
1995,1975,1.0915131196761574
1996,1975,1.0650805277611939
1997,1975,1.0472283034294643
1998,1975,1.043937957390063
1999,1975,1.0341815277985629
2000,1975,1.0368453746401993
2001,1975,1.0379265443088241
2002,1975,1.0295377225964293
2003,1975,1.0310040888613647
2004,1975,1.0317398714758126
2005,1975,1.03634617017485
2006,1975,1.037798037663388
2007,1975,1.0407167690394892
2008,1975,1.0694505280081967
2009,1975,1.0232687670545302
2010,1975,1.0299212821626715
2011,1975,1.0449698305485993
2012,1975,1.0348341045519274
2013,1975,1.027433551887506
2014,1975,1.0228164387639684
2015,1975,1.015080896769836
2016,1975,1.0156897575492994
2017,1975,1.0241149869140294
1962,1976,1.0969145386326704
1963,1976,1.0969145386326704
1964,1976,1.0969145386326704
1965,1976,1.0969145386326704
1966,1976,1.0969145386326704
1967,1976,1.0969145386326704
1968,1976,1.0969145386326704
1969,1976,1.0969145386326704
1970,1976,1.0969145386326704
1971,1976,1.0969145386326704
1972,1976,1.0969145386326704
1973,1976,1.0969145386326704
1974,1976,1.0969145386326704
1975,1976,1.0969145386326704
1976,1976,1
1977,1976,1.1035383186462282
1978,1976,1.0862361818879926
1979,1976,1.101042240936484
1980,1976,1.1373631275845262
1981,1976,1.1284491271429455
1982,1976,1.1037922131698876
1983,1976,1.0937208721296852
1984,1976,1.0903986972855368
1985,1976,1.0867647174527224
1986,1976,1.0649634433157162
1987,1976,1.0697721238464266
1988,1976,1.099683825125001
1989,1976,1.146370358673259
1990,1976,1.2328597005478954
1991,1976,1.1103742379883184
1992,1976,1.1096042804578876
1993,1976,1.2079032999295152
1994,1976,1.2389418272963342
1995,1976,1.0915131196761574
1996,1976,1.0650805277611939
1997,1976,1.0472283034294643
1998,1976,1.043937957390063
1999,1976,1.0341815277985629
2000,1976,1.0368453746401993
2001,1976,1.0379265443088241
2002,1976,1.0295377225964293
2003,1976,1.0310040888613647
2004,1976,1.0317398714758126
2005,1976,1.03634617017485
2006,1976,1.037798037663388
2007,1976,1.0407167690394892
2008,1976,1.0694505280081967
2009,1976,1.0232687670545302
2010,1976,1.0299212821626715
2011,1976,1.0449698305485993
2012,1976,1.0348341045519274
2013,1976,1.027433551887506
2014,1976,1.0228164387639684
2015,1976,1.015080896769836
2016,1976,1.0156897575492994
2017,1976,1.0241149869140294
1962,1977,1.1035383186462282
1963,1977,1.1035383186462282
1964,1977,1.1035383186462282
1965,1977,1.1035383186462282
1966,1977,1.1035383186462282
1967,1977,1.1035383186462282
1968,1977,1.1035383186462282
1969,1977,1.1035383186462282
1970,1977,1.1035383186462282
1971,1977,1.1035383186462282
1972,1977,1.1035383186462282
1973,1977,1.1035383186462282
1974,1977,1.1035383186462282
1975,1977,1.1035383186462282
1976,1977,1.1035383186462282
1977,1977,1
1978,1977,1.0862361818879926
1979,1977,1.101042240936484
1980,1977,1.1373631275845262
1981,1977,1.1284491271429455
1982,1977,1.1037922131698876
1983,1977,1.0937208721296852
1984,1977,1.0903986972855368
1985,1977,1.0867647174527224
1986,1977,1.0649634433157162
1987,1977,1.0697721238464266
1988,1977,1.099683825125001
1989,1977,1.146370358673259
1990,1977,1.2328597005478954
1991,1977,1.1103742379883184
1992,1977,1.1096042804578876
1993,1977,1.2079032999295152
1994,1977,1.2389418272963342
1995,1977,1.0915131196761574
1996,1977,1.0650805277611939
1997,1977,1.0472283034294643
1998,1977,1.043937957390063
1999,1977,1.0341815277985629
2000,1977,1.0368453746401993
2001,1977,1.0379265443088241
2002,1977,1.0295377225964293
2003,1977,1.0310040888613647
2004,1977,1.0317398714758126
2005,1977,1.03634617017485
2006,1977,1.037798037663388
2007,1977,1.0407167690394892
2008,1977,1.0694505280081967
2009,1977,1.0232687670545302
2010,1977,1.0299212821626715
2011,1977,1.0449698305485993
2012,1977,1.0348341045519274
2013,1977,1.027433551887506
2014,1977,1.0228164387639684
2015,1977,1.015080896769836
2016,1977,1.0156897575492994
2017,1977,1.0241149869140294
1962,1978,1.0862361818879926
1963,1978,1.0862361818879926
1964,1978,1.0862361818879926
1965,1978,1.0862361818879926
1966,1978,1.0862361818879926
1967,1978,1.0862361818879926
1968,1978,1.0862361818879926
1969,1978,1.0862361818879926
1970,1978,1.0862361818879926
1971,1978,1.0862361818879926
1972,1978,1.0862361818879926
1973,1978,1.0862361818879926
1974,1978,1.0862361818879926
1975,1978,1.0862361818879926
1976,1978,1.0862361818879926
1977,1978,1.0862361818879926
1978,1978,1
1979,1978,1.101042240936484
1980,1978,1.1373631275845262
1981,1978,1.1284491271429455
1982,1978,1.1037922131698876
1983,1978,1.0937208721296852
1984,1978,1.0903986972855368
1985,1978,1.0867647174527224
1986,1978,1.0649634433157162
1987,1978,1.0697721238464266
1988,1978,1.099683825125001
1989,1978,1.146370358673259
1990,1978,1.2328597005478954
1991,1978,1.1103742379883184
1992,1978,1.1096042804578876
1993,1978,1.2079032999295152
1994,1978,1.2389418272963342
1995,1978,1.0915131196761574
1996,1978,1.0650805277611939
1997,1978,1.0472283034294643
1998,1978,1.043937957390063
1999,1978,1.0341815277985629
2000,1978,1.0368453746401993
2001,1978,1.0379265443088241
2002,1978,1.0295377225964293
2003,1978,1.0310040888613647
2004,1978,1.0317398714758126
2005,1978,1.03634617017485
2006,1978,1.037798037663388
2007,1978,1.0407167690394892
2008,1978,1.0694505280081967
2009,1978,1.0232687670545302
2010,1978,1.0299212821626715
2011,1978,1.0449698305485993
2012,1978,1.0348341045519274
2013,1978,1.027433551887506
2014,1978,1.0228164387639684
2015,1978,1.015080896769836
2016,1978,1.0156897575492994
2017,1978,1.0241149869140294
1962,1979,1.101042240936484
1963,1979,1.101042240936484
1964,1979,1.101042240936484
1965,1979,1.101042240936484
1966,1979,1.101042240936484
1967,1979,1.101042240936484
1968,1979,1.101042240936484
1969,1979,1.101042240936484
1970,1979,1.101042240936484
1971,1979,1.101042240936484
1972,1979,1.101042240936484
1973,1979,1.101042240936484
1974,1979,1.101042240936484
1975,1979,1.101042240936484
1976,1979,1.101042240936484
1977,1979,1.101042240936484
1978,1979,1.101042240936484
1979,1979,1
1980,1979,1.1373631275845262
1981,1979,1.1284491271429455
1982,1979,1.1037922131698876
1983,1979,1.0937208721296852
1984,1979,1.0903986972855368
1985,1979,1.0867647174527224
1986,1979,1.0649634433157162
1987,1979,1.0697721238464266
1988,1979,1.099683825125001
1989,1979,1.146370358673259
1990,1979,1.2328597005478954
1991,1979,1.1103742379883184
1992,1979,1.1096042804578876
1993,1979,1.2079032999295152
1994,1979,1.2389418272963342
1995,1979,1.0915131196761574
1996,1979,1.0650805277611939
1997,1979,1.0472283034294643
1998,1979,1.043937957390063
1999,1979,1.0341815277985629
2000,1979,1.0368453746401993
2001,1979,1.0379265443088241
2002,1979,1.0295377225964293
2003,1979,1.0310040888613647
2004,1979,1.0317398714758126
2005,1979,1.03634617017485
2006,1979,1.037798037663388
2007,1979,1.0407167690394892
2008,1979,1.0694505280081967
2009,1979,1.0232687670545302
2010,1979,1.0299212821626715
2011,1979,1.0449698305485993
2012,1979,1.0348341045519274
2013,1979,1.027433551887506
2014,1979,1.0228164387639684
2015,1979,1.015080896769836
