country_iso,from,to,gdp_deflator
bdi,1967,1968,1.0305681314978679
bdi,1968,1969,1.0536187983573895
bdi,1969,1970,1.0518451180670623
bdi,1970,1971,1.0138021894715867
bdi,1971,1972,1.0429080996997104
bdi,1972,1973,1.0551044247157
bdi,1973,1974,1.124551776396042
bdi,1974,1975,1.210869057883553
bdi,1975,1976,1.0807494824629165
bdi,1976,1977,1.143041256056411
bdi,1977,1978,1.125077052233197
bdi,1978,1979,1.261307076115913
bdi,1979,1980,1.163840243620575
bdi,1980,1981,0.9393668491313621
bdi,1981,1982,1.056720215479481
bdi,1982,1983,1.0642854880295907
bdi,1983,1984,1.172161949892026
bdi,1984,1985,1.0506883897594022
bdi,1985,1986,0.9574258576314331
bdi,1986,1987,0.9658220492203309
bdi,1987,1988,1.0349122270047904
bdi,1988,1989,1.147571848244411
bdi,1989,1990,1.0598556154118284
bdi,1990,1991,1.040931407926533
bdi,1991,1992,1.054017606995468
bdi,1992,1993,1.0774264567579905
bdi,1993,1994,1.0663844545647954
bdi,1994,1995,1.161027117424962
bdi,1995,1996,1.144531114060499
bdi,1996,1997,1.323977892307747
bdi,1997,1998,1.114505560048054
bdi,1998,1999,1.149541402608853
bdi,1999,2000,1.389448932030909
bdi,2000,2001,1.137164067920133
bdi,2001,2002,1.0102785857373888
bdi,2002,2003,1.1194574864485909
bdi,2003,2004,1.131461593314354
bdi,2004,2005,1.188415894769233
bdi,2005,2006,1.0284566633376673
bdi,2006,2007,1.0827337152019731
bdi,2007,2008,1.242157977378602
bdi,2008,2009,1.104587948547095
bdi,2009,2010,1.0856155174707403
bdi,2010,2011,1.083642475860606
bdi,2011,2012,1.1429243968238931
bdi,2012,2013,1.0795545917610914
bdi,2013,2014,1.053048535699795
bdi,2014,2015,1.213340425387921
bdi,2015,2016,1.00960470190066
bdi,2016,2017,1.114491729184542
bdi,2017,2018,0.9714914293426875
bdi,2018,2019,1.0082224702541536
bdi,2019,2020,1.118980108342396
bel,1960,1961,1.0131546869427728
bel,1961,1962,1.0166769194647134
bel,1962,1963,1.030257967002838
bel,1963,1964,1.046424265584866
bel,1964,1965,1.0510071293696246
bel,1965,1966,1.0408601493307377
bel,1966,1967,1.0319343093712605
bel,1967,1968,1.0262028927660245
bel,1968,1969,1.040238263111546
bel,1969,1970,1.0668047235500713
bel,1970,1971,1.0535821781358092
bel,1971,1972,1.0631781921413839
bel,1972,1973,1.0680698643069657
bel,1973,1974,1.121683402618302
bel,1974,1975,1.12889722807014
bel,1975,1976,1.0757526311441308
bel,1976,1977,1.0747805996825543
bel,1977,1978,1.044232503373673
bel,1978,1979,1.0450524137462662
bel,1979,1980,1.0412659696911626
bel,1980,1981,1.0513919666132385
bel,1981,1982,1.0757041624863626
bel,1982,1983,1.056128503660996
bel,1983,1984,1.0543871724274632
bel,1984,1985,1.0462774213948016
